imgType,imageType.thisRepN,imageType.thisTrialN,imageType.thisN,imageType.thisIndex,text_instr.started,block_loop.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,image_type.started,instr_resp.started,instr_resp.keys,instr_resp.rt,staircase.label,staircase.startVal,staircase.startValSd,staircase.pThreshold,staircase.method,staircase.maxVal,staircase.minVal,staircase.range,staircase.thisIndex,staircase.thisRepN,staircase.thisN,staircase.direction,staircase.stepSize,staircase.stepType,staircase.intensity,ISI.started,image1.started,image2.started,image3.started,key_resp.started,staircase.response,level,targetSide,CorrectAns,correct,image1.stopped,image2.stopped,image3.stopped,approxThreshold,std,mean,thanks_text.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,11.265470399986953,14.515372900059447,14.515372900059447,space,1.1076411000685766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uwinter,0,0,0,17,,,,,,15.657304399996065,15.657304399996065,space,0.8858256000094116,solo,0.8,0.8,0.82,quantile,1,0,1,0,1,0,start,4,lin,0.8,0.3276690000202507,17.390607599983923,17.390607599983923,17.390607599983923,17.390607599983923,1,0.8,1,right,1,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uwinter,0,0,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uwinter,0,0,0,17,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,2,1,start,4,lin,0.7711677739866264,0.011628000065684319,19.115566599997692,19.115566599997692,19.115566599997692,19.115566599997692,1,0.7711677739866264,-1,left,1,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uwinter,0,0,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uwinter,0,0,0,17,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,3,2,start,4,lin,0.6892364930809887,0.011149599915370345,20.20732070005033,20.20732070005033,20.20732070005033,20.20732070005033,1,0.6892364930809887,-1,left,1,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uwinter,0,0,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uwinter,0,0,0,17,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,4,3,start,4,lin,0.6252138722597939,0.011937699979171157,21.374030800070614,21.374030800070614,21.374030800070614,21.374030800070614,1,0.6252138722597939,-1,left,1,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uwinter,0,0,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uwinter,0,0,0,17,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,5,4,start,4,lin,0.5740588781600403,0.011054100003093481,22.74061440001242,22.74061440001242,22.74061440001242,22.74061440001242,1,0.5740588781600403,-1,left,1,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uwinter,0,0,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uwinter,0,0,0,17,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,6,5,start,4,lin,0.5312315311569114,0.012144300038926303,24.323984900023788,24.323984900023788,24.323984900023788,24.323984900023788,0,0.5312315311569114,-1,left,0,27.32403020001948,27.32403020001948,27.32403020001948,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uwinter,0,0,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uwinter,0,0,0,17,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,7,6,start,4,lin,0.6791949935833629,0.011071300017647445,28.274100300041027,28.274100300041027,28.274100300041027,28.274100300041027,1,0.6791949935833629,-1,left,1,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uwinter,0,0,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uwinter,0,0,0,17,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,8,7,start,4,lin,0.6448415432533685,0.011306799948215485,29.407445900025778,29.407445900025778,29.407445900025778,29.407445900025778,1,0.6448415432533685,1,right,1,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uwinter,0,0,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uwinter,0,0,0,17,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,9,8,start,4,lin,0.6178768654138149,0.011340900091454387,30.51565670000855,30.51565670000855,30.51565670000855,30.51565670000855,1,0.6178768654138149,-1,left,1,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uwinter,0,0,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uwinter,0,0,0,17,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,10,9,start,4,lin,0.5962184423144156,0.011230100062675774,31.56582520005759,31.56582520005759,31.56582520005759,31.56582520005759,1,0.5962184423144156,-1,left,1,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uwinter,0,0,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uwinter,0,0,0,17,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,11,10,start,4,lin,0.5780178294246834,0.01122770004440099,32.68244650005363,32.68244650005363,32.68244650005363,32.68244650005363,1,0.5780178294246834,1,right,1,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uwinter,0,0,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uwinter,0,0,0,17,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,12,11,start,4,lin,0.5622081837838835,0.011045100050978363,33.940691900090314,33.940691900090314,33.940691900090314,33.940691900090314,1,0.5622081837838835,1,right,1,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uwinter,0,0,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uwinter,0,0,0,17,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,13,12,start,4,lin,0.5480359782425737,0.011186000076122582,35.17420700006187,35.17420700006187,35.17420700006187,35.17420700006187,1,0.5480359782425737,1,right,1,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uwinter,0,0,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uwinter,0,0,0,17,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,14,13,start,4,lin,0.5353599896246332,0.011264099972322583,36.332511299988255,36.332511299988255,36.332511299988255,36.332511299988255,1,0.5353599896246332,-1,left,1,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uwinter,0,0,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uwinter,0,0,0,17,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,15,14,start,4,lin,0.5238083082062797,0.011182199930772185,37.49907390004955,37.49907390004955,37.49907390004955,37.49907390004955,1,0.5238083082062797,-1,left,1,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uwinter,0,0,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uwinter,0,0,0,17,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,16,15,start,4,lin,0.5128880039271044,0.011163700022734702,38.7242557000136,38.7242557000136,38.7242557000136,38.7242557000136,1,0.5128880039271044,1,right,1,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uwinter,0,0,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uwinter,0,0,0,17,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,17,16,start,4,lin,0.5026721600725266,0.011237700004130602,40.082504700054415,40.082504700054415,40.082504700054415,40.082504700054415,1,0.5026721600725266,-1,left,1,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uwinter,0,0,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uwinter,0,0,0,17,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,18,17,start,4,lin,0.4930326996312831,0.010982800042256713,41.382638800074346,41.382638800074346,41.382638800074346,41.382638800074346,1,0.4930326996312831,1,right,1,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uwinter,0,0,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uwinter,0,0,0,17,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,19,18,start,4,lin,0.48386393190793997,0.011222000000998378,42.91595000005327,42.91595000005327,42.91595000005327,42.91595000005327,1,0.48386393190793997,-1,left,1,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uwinter,0,0,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uwinter,0,0,0,17,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,20,19,start,4,lin,0.4750788860756392,0.011123499949462712,44.41608790005557,44.41608790005557,44.41608790005557,44.41608790005557,1,0.4750788860756392,-1,left,1,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uwinter,0,0,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uwinter,0,0,0,17,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,21,20,start,4,lin,0.46681870141817433,0.011211600038222969,45.92435190000106,45.92435190000106,45.92435190000106,45.92435190000106,1,0.46681870141817433,1,right,1,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uwinter,0,0,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uwinter,0,0,0,17,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,22,21,start,4,lin,0.45882405929187453,0.011064199963584542,47.34939170000143,47.34939170000143,47.34939170000143,47.34939170000143,1,0.45882405929187453,-1,left,1,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uwinter,0,0,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uwinter,0,0,0,17,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,23,22,start,4,lin,0.45108802503092954,0.0110512999817729,49.11595880007371,49.11595880007371,49.11595880007371,49.11595880007371,1,0.45108802503092954,1,right,1,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uwinter,0,0,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uwinter,0,0,0,17,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,24,23,start,4,lin,0.4435649060154396,0.011093099950812757,50.4077721000649,50.4077721000649,50.4077721000649,50.4077721000649,1,0.4435649060154396,-1,left,1,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uwinter,0,0,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uwinter,0,0,0,17,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,25,24,start,4,lin,0.43617503020236337,0.011397600057534873,52.39939330006018,52.39939330006018,52.39939330006018,52.39939330006018,1,0.43617503020236337,-1,left,1,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uwinter,0,0,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uwinter,0,0,0,17,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,26,25,start,4,lin,0.42907591467925577,0.011062599951401353,53.974477200070396,53.974477200070396,53.974477200070396,53.974477200070396,1,0.42907591467925577,1,right,1,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uwinter,0,0,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uwinter,0,0,0,17,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,27,26,start,4,lin,0.4221518104801518,0.011128499987535179,55.60787720000371,55.60787720000371,55.60787720000371,55.60787720000371,1,0.4221518104801518,-1,left,1,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uwinter,0,0,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uwinter,0,0,0,17,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,28,27,start,4,lin,0.41532597353822415,0.011131500010378659,57.79107760009356,57.79107760009356,57.79107760009356,57.79107760009356,0,0.41532597353822415,-1,left,0,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uwinter,0,0,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uwinter,0,0,0,17,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,29,28,start,4,lin,0.444997797359939,0.011135000037029386,59.19110599998385,59.19110599998385,59.19110599998385,59.19110599998385,1,0.444997797359939,-1,left,1,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uwinter,0,0,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uwinter,0,0,0,17,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,30,29,start,4,lin,0.4390877026274001,0.010939100058749318,60.53293890005443,60.53293890005443,60.53293890005443,60.53293890005443,1,0.4390877026274001,-1,left,1,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uwinter,0,0,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uwinter,0,0,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4205864030691376,0.05810982611838375,0.4271143785484555,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uflower,0,1,1,3,,,,,,61.399457800085656,61.399457800085656,space,1.5116269000573084,solo,0.8,0.8,0.82,quantile,1,0,1,0,1,0,start,4,lin,0.8,0.017362099955789745,63.44130380009301,63.44130380009301,63.44130380009301,63.44130380009301,1,0.8,-1,left,1,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uflower,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uflower,0,1,1,3,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,2,1,start,4,lin,0.7711677739866264,0.01167220005299896,64.54961900005583,64.54961900005583,64.54961900005583,64.54961900005583,1,0.7711677739866264,-1,left,1,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uflower,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uflower,0,1,1,3,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,3,2,start,4,lin,0.6892364930809887,0.01145440002437681,65.54127010004595,65.54127010004595,65.54127010004595,65.54127010004595,1,0.6892364930809887,1,right,1,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uflower,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uflower,0,1,1,3,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,4,3,start,4,lin,0.6252138722597939,0.011350500048138201,66.7080129000824,66.7080129000824,66.7080129000824,66.7080129000824,1,0.6252138722597939,1,right,1,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uflower,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uflower,0,1,1,3,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,5,4,start,4,lin,0.5740588781600403,0.011504600057378411,68.00799860002007,68.00799860002007,68.00799860002007,68.00799860002007,1,0.5740588781600403,-1,left,1,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uflower,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uflower,0,1,1,3,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,6,5,start,4,lin,0.5312315311569114,0.011317700031213462,70.49137780000456,70.49137780000456,70.49137780000456,70.49137780000456,1,0.5312315311569114,-1,left,1,73.49129899998661,73.49129899998661,73.49129899998661,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uflower,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uflower,0,1,1,3,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,7,6,start,4,lin,0.49592477917827904,0.01144539995584637,74.48314880009275,74.48314880009275,74.48314880009275,74.48314880009275,0,0.49592477917827904,-1,left,0,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uflower,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uflower,0,1,1,3,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,8,7,start,4,lin,0.6250517860695689,0.01139670005068183,75.89145170000847,75.89145170000847,75.89145170000847,75.89145170000847,1,0.6250517860695689,-1,left,1,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uflower,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uflower,0,1,1,3,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,9,8,start,4,lin,0.5959476995457093,0.011290300055406988,77.09151530009694,77.09151530009694,77.09151530009694,77.09151530009694,1,0.5959476995457093,1,right,1,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uflower,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uflower,0,1,1,3,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,10,9,start,4,lin,0.5725620407867142,0.011145800002850592,78.48310740001034,78.48310740001034,78.48310740001034,78.48310740001034,1,0.5725620407867142,1,right,1,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uflower,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uflower,0,1,1,3,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,11,10,start,4,lin,0.5528505609811394,0.011545600020326674,80.04989870009013,80.04989870009013,80.04989870009013,80.04989870009013,1,0.5528505609811394,-1,left,1,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uflower,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uflower,0,1,1,3,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,12,11,start,4,lin,0.5359089096211724,0.011279000085778534,81.88318350003101,81.88318350003101,81.88318350003101,81.88318350003101,0,0.5359089096211724,-1,left,0,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uflower,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uflower,0,1,1,3,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,13,12,start,4,lin,0.6050732594407854,0.011562899919226766,83.7832029000856,83.7832029000856,83.7832029000856,83.7832029000856,1,0.6050732594407854,-1,left,1,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uflower,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uflower,0,1,1,3,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,14,13,start,4,lin,0.5890704789722293,0.0117595000192523,85.1833106999984,85.1833106999984,85.1833106999984,85.1833106999984,1,0.5890704789722293,-1,left,1,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uflower,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uflower,0,1,1,3,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,15,14,start,4,lin,0.575569160725685,0.011308800079859793,86.9332626000978,86.9332626000978,86.9332626000978,86.9332626000978,1,0.575569160725685,-1,left,1,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uflower,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uflower,0,1,1,3,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,16,15,start,4,lin,0.5639040812678824,0.01150599995162338,88.63329430005979,88.63329430005979,88.63329430005979,88.63329430005979,1,0.5639040812678824,-1,left,1,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uflower,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
uflower,0,1,1,3,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,17,16,start,4,lin,0.553414561778371,0.011490400065667927,90.26671600004192,90.26671600004192,90.26671600004192,90.26671600004192,1,0.553414561778371,1,right,1,,,,,,,,,,,13_zyf_1,2023-04-24_20h21.30.083,quest_noise,2022.2.5,119.99975988689427,
